trial_id,domain,v_level,v_magnitude,psi_direction,model,repetition,ssc,ssc_p,sp,sp_p,tau_preservation,n_found,n_total,n_sentences
S2_V2_causal_claude-sonnet_rep4,S2,V2,2,causal,claude-sonnet,4,0.5032,0.0,-0.4737,0.034875,1.0,20,20,18
S2_V2_causal_gpt-4o_rep0,S2,V2,2,causal,gpt-4o,0,0.4448,0.0,-0.4964,0.026001,0.9615,20,20,34
S2_V2_causal_gpt-4o_rep1,S2,V2,2,causal,gpt-4o,1,0.4337,0.0,-0.4555,0.043561,1.0,20,20,55
S2_V2_causal_gpt-4o_rep2,S2,V2,2,causal,gpt-4o,2,0.3848,0.0,-0.4663,0.038242,1.0,20,20,39
S2_V2_causal_gpt-4o_rep3,S2,V2,2,causal,gpt-4o,3,0.2182,0.002491,0.087,0.715253,1.0,20,20,29
S2_V2_causal_gpt-4o_rep4,S2,V2,2,causal,gpt-4o,4,0.5097,0.0,-0.2485,0.290785,1.0,20,20,63
S2_V2_practical_claude-sonnet_rep0,S2,V2,2,practical,claude-sonnet,0,0.4272,0.0,-0.319,0.170365,1.0,20,20,19
S2_V2_practical_claude-sonnet_rep1,S2,V2,2,practical,claude-sonnet,1,0.1193,0.100996,-0.0521,0.827248,1.0,20,20,16
S2_V2_practical_claude-sonnet_rep2,S2,V2,2,practical,claude-sonnet,2,0.3208,6e-06,-0.2601,0.268012,1.0,20,20,10
S2_V2_practical_claude-sonnet_rep3,S2,V2,2,practical,claude-sonnet,3,0.1674,0.020961,-0.3,0.19877,1.0,20,20,21
S2_V2_practical_claude-sonnet_rep4,S2,V2,2,practical,claude-sonnet,4,0.4064,0.0,-0.4318,0.057306,1.0,20,20,9
S2_V2_practical_gpt-4o_rep0,S2,V2,2,practical,gpt-4o,0,0.1179,0.105239,-0.3782,0.10017,0.5385,20,20,29
S2_V2_practical_gpt-4o_rep1,S2,V2,2,practical,gpt-4o,1,0.438,0.0,-0.5501,0.011965,0.8462,20,20,25
S2_V2_practical_gpt-4o_rep2,S2,V2,2,practical,gpt-4o,2,0.2356,0.001065,-0.2876,0.21885,0.4615,20,20,32
S2_V2_practical_gpt-4o_rep3,S2,V2,2,practical,gpt-4o,3,0.3807,0.0,-0.3582,0.120987,0.9615,20,20,25
S2_V2_practical_gpt-4o_rep4,S2,V2,2,practical,gpt-4o,4,0.3714,0.0,-0.307,0.188024,0.5769,20,20,22
S2_V2_historical_claude-sonnet_rep0,S2,V2,2,historical,claude-sonnet,0,0.0,1.0,0.0,1.0,1.0,20,20,5
S2_V2_historical_claude-sonnet_rep1,S2,V2,2,historical,claude-sonnet,1,0.0,1.0,0.0,1.0,1.0,20,20,7
S2_V2_historical_claude-sonnet_rep2,S2,V2,2,historical,claude-sonnet,2,0.0,1.0,0.0,1.0,1.0,20,20,5
S2_V2_historical_claude-sonnet_rep3,S2,V2,2,historical,claude-sonnet,3,0.1528,0.035319,0.1378,0.562233,0.7308,20,20,25
S2_V2_historical_claude-sonnet_rep4,S2,V2,2,historical,claude-sonnet,4,0.1042,0.152647,0.0415,0.862004,1.0,20,20,31
S2_V2_historical_gpt-4o_rep0,S2,V2,2,historical,gpt-4o,0,0.4462,0.0,-0.456,0.043329,0.8077,20,20,44
S2_V2_historical_gpt-4o_rep1,S2,V2,2,historical,gpt-4o,1,0.2445,0.000675,-0.4091,0.0733,0.8077,20,20,43
S2_V2_historical_gpt-4o_rep2,S2,V2,2,historical,gpt-4o,2,0.2602,0.000288,-0.1943,0.411658,0.6538,20,20,42
S2_V2_historical_gpt-4o_rep3,S2,V2,2,historical,gpt-4o,3,0.2567,0.00035,-0.2023,0.392429,0.7308,20,20,42
S2_V2_historical_gpt-4o_rep4,S2,V2,2,historical,gpt-4o,4,0.3697,0.0,-0.4212,0.064403,0.6923,20,20,43
S2_V2_formal_claude-sonnet_rep0,S2,V2,2,formal,claude-sonnet,0,0.2503,0.000495,-0.4543,0.044194,0.9231,19,20,20
