trial_id,domain,v_level,v_magnitude,psi_direction,model,repetition,ssc,ssc_p,sp,sp_p,tau_preservation,n_found,n_total,n_sentences,isc,isc_p,osd,ri,pd
S1_V2_formal_claude-sonnet_rep2,S1,V2,2,formal,claude-sonnet,2,0.1896,0.008787,-0.4129,0.070414,1.0,20,20,21,0.7628,0.0,0.3892,0.8316,0.5187
S1_V2_formal_claude-sonnet_rep3,S1,V2,2,formal,claude-sonnet,3,0.2033,0.004904,-0.4537,0.044509,1.0,20,20,10,0.0,1.0,0.2794,0.7789,0.4936
S1_V2_formal_claude-sonnet_rep4,S1,V2,2,formal,claude-sonnet,4,0.1885,0.009191,-0.5496,0.012066,0.9643,20,20,9,1.0,0.0,0.5959,0.8842,0.501
S1_V2_formal_gpt-4o_rep0,S1,V2,2,formal,gpt-4o,0,0.1244,0.087152,-0.8173,1.1e-05,1.0,20,20,58,0.1762,0.015025,0.4046,0.9789,0.2802
S1_V2_formal_gpt-4o_rep1,S1,V2,2,formal,gpt-4o,1,0.1868,0.009863,-0.7419,0.000181,1.0,20,20,47,0.1807,0.012574,0.4255,0.6105,0.2734
S1_V2_formal_gpt-4o_rep2,S1,V2,2,formal,gpt-4o,2,0.1416,0.051324,-0.8043,1.9e-05,1.0,20,20,30,0.2306,0.001373,0.4392,0.8211,0.3812
S1_V2_formal_gpt-4o_rep3,S1,V2,2,formal,gpt-4o,3,0.1889,0.009064,-0.7014,0.000568,1.0,20,20,57,0.3095,1.4e-05,0.3569,0.9158,0.2437
S1_V2_formal_gpt-4o_rep4,S1,V2,2,formal,gpt-4o,4,0.1908,0.008354,-0.7662,8.2e-05,1.0,20,20,58,0.3425,1e-06,0.3898,0.9368,0.2699
S1_V3_causal_claude-sonnet_rep0,S1,V3,3,causal,claude-sonnet,0,0.0508,0.486129,-0.48,0.032222,0.6429,17,20,48,0.0349,0.686707,0.4215,0.9474,0.4802
S1_V3_causal_claude-sonnet_rep1,S1,V3,3,causal,claude-sonnet,1,-0.0685,0.347594,-0.7007,0.000579,0.9286,19,20,24,0.6644,0.0,0.4477,0.9684,0.3848
S1_V3_causal_claude-sonnet_rep2,S1,V3,3,causal,claude-sonnet,2,0.2291,0.001475,-0.1698,0.474188,0.7857,18,20,37,0.5171,0.0,0.4024,0.9158,0.3459
S1_V3_causal_claude-sonnet_rep3,S1,V3,3,causal,claude-sonnet,3,0.153,0.03503,-0.3784,0.099961,0.75,17,20,31,0.7207,0.0,0.4197,0.6211,0.4299
S1_V3_causal_claude-sonnet_rep4,S1,V3,3,causal,claude-sonnet,4,0.0961,0.187399,-0.2712,0.247462,0.6429,15,20,36,0.1235,0.209337,0.3786,0.9263,0.3725
S1_V3_causal_gpt-4o_rep0,S1,V3,3,causal,gpt-4o,0,0.3029,2.2e-05,-0.5329,0.015544,0.9643,20,20,37,0.4803,0.0,0.4832,0.9474,0.2697
S1_V3_causal_gpt-4o_rep1,S1,V3,3,causal,gpt-4o,1,0.308,1.5e-05,-0.5438,0.013192,1.0,20,20,39,0.3047,1.9e-05,0.493,0.8211,0.3208
S1_V3_causal_gpt-4o_rep2,S1,V3,3,causal,gpt-4o,2,0.3713,0.0,-0.4133,0.070078,0.9286,20,20,41,0.2619,0.000262,0.4505,0.8,0.347
S1_V3_causal_gpt-4o_rep3,S1,V3,3,causal,gpt-4o,3,0.3009,2.5e-05,-0.4627,0.039941,0.9286,20,20,39,0.4166,0.0,0.4968,0.6211,0.3215
S1_V3_causal_gpt-4o_rep4,S1,V3,3,causal,gpt-4o,4,0.3028,2.2e-05,-0.5329,0.015544,0.9643,20,20,40,0.4178,0.0,0.4567,0.7895,0.3348
S1_V3_practical_claude-sonnet_rep0,S1,V3,3,practical,claude-sonnet,0,0.2445,0.000675,-0.247,0.293769,0.8571,18,20,33,0.5924,0.0,0.2869,0.7895,0.5063
S1_V3_practical_claude-sonnet_rep1,S1,V3,3,practical,claude-sonnet,1,0.257,0.000344,0.1782,0.452272,0.4643,17,20,35,0.1583,0.065729,0.2657,0.9684,0.4318
S1_V3_practical_claude-sonnet_rep2,S1,V3,3,practical,claude-sonnet,2,0.1517,0.036715,-0.4428,0.050577,0.7857,20,20,30,0.3824,0.0,0.3508,0.8737,0.3436
S1_V3_practical_claude-sonnet_rep3,S1,V3,3,practical,claude-sonnet,3,0.1828,0.011606,-0.135,0.570482,0.7143,16,20,30,0.2995,0.000891,0.4023,0.8737,0.4542
S1_V3_practical_claude-sonnet_rep4,S1,V3,3,practical,claude-sonnet,4,0.0815,0.263391,-0.4576,0.04247,0.5357,18,20,33,0.1271,0.140189,0.3051,0.9474,0.4693
S1_V3_practical_gpt-4o_rep0,S1,V3,3,practical,gpt-4o,0,0.2035,0.00486,-0.1657,0.48505,0.9286,20,20,38,0.4167,0.0,0.3808,0.9579,0.2707
S1_V3_practical_gpt-4o_rep1,S1,V3,3,practical,gpt-4o,1,0.3623,0.0,0.1974,0.404178,0.6429,16,20,27,0.2916,0.001233,0.3292,0.8842,0.3941
S1_V3_practical_gpt-4o_rep2,S1,V3,3,practical,gpt-4o,2,-0.03,0.681428,0.1389,0.559089,0.4643,12,20,31,0.3215,0.00848,0.4094,0.9579,0.4206
S1_V3_practical_gpt-4o_rep3,S1,V3,3,practical,gpt-4o,3,0.312,1.2e-05,0.2622,0.264071,0.9286,19,20,30,0.669,0.0,0.3838,0.8526,0.3131
S1_V3_practical_gpt-4o_rep4,S1,V3,3,practical,gpt-4o,4,0.2577,0.000332,0.2908,0.213525,0.6071,17,20,24,0.4216,0.0,0.3135,0.9684,0.448
S1_V3_historical_claude-sonnet_rep0,S1,V3,3,historical,claude-sonnet,0,0.271,0.000155,-0.4198,0.065376,0.8571,20,20,52,0.2249,0.001813,0.3432,0.8842,0.5424
